Id,Nome,Categoria,Sub-categoria,Valor,Sistema ,Fisico ,Situação,Data,Motivo,Resolvido ? ,Como ?
4111,Carcaça iPhone 5C - Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone 5C,"100,00",1,1,OK,2025-08-14,,,
4112,Carcaça iPhone 5C - Azul,Manutenção Carcaça/Vidro Traseiro,M. iPhone 5C,"100,00",1,1,OK,2025-08-14,,,
4113,Carcaça iPhone 5C - Amarelo,Manutenção Carcaça/Vidro Traseiro,M. iPhone 5C,"100,00",1,1,OK,2025-08-14,,,
4114,Carcaça iPhone 5C - Verde,Manutenção Carcaça/Vidro Traseiro,M. iPhone 5C,"100,00",1,1,OK,2025-08-14,,,
24344,Conector de carga para iPhone XR Preto,Manutenção Conector,M. iPhone XR,"300,00",4,4,OK,2025-08-14,,,
24901,Flex sensor/ alto falante - iPhone XR,Manutenção Flex do Sensor,M. iPhone XR,"400,00",1,0,DIVERGENTE,2025-08-14,não encontrei,Sim,
25104,Lente de Vidro da Câmera iPhone XR - Avulsa,Manutenção Câmera,M. iPhone XR,"250,00",7,7,OK,2025-08-14,,,
21905,Câmera Traseira - iPhone X,Manutenção Câmera,M. iPhone X,"300,00",2,3,DIVERGENTE,2025-08-14,gerar novo codigo,,
21924,Conector de Carga iPhone X - Preto,Manutenção Conector,M. iPhone X,"0,00",2,2,OK,2025-08-14,,,
4310,Carcaça iPhone 5S - Dourado,Manutenção Carcaça/Vidro Traseiro,M. iPhone 5S,"100,00",2,2,OK,2025-08-14,,,
4312,Carcaça iPhone 5S - Cinza Espacial,Manutenção Carcaça/Vidro Traseiro,M. iPhone 5S,"200,00",2,2,OK,2025-08-14,,,
21925,Lente de Vidro da Câmera iPhone X - Preta,Manutenção Câmera,M. iPhone X,"0,00",2,2,OK,2025-08-14,,,
21926,Lente de Vidro da Câmera iPhone X - Prata,Manutenção Câmera,M. iPhone X,"0,00",2,2,OK,2025-08-14,,,
22487,Flex Volume - iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"0,00",3,3,OK,2025-08-14,,,
22492,Flex Power - iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"0,00",3,3,OK,2025-08-14,,,
22504,Conector de Carga iPhone X - Cinza,Manutenção Conector,M. iPhone X,"0,00",1,0,DIVERGENTE,2025-08-14,,,
22642,Motor do Vibra - iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"0,00",3,3,OK,2025-08-14,,,
22850,Alto falante - iPhone X,Manutenção Alto Falante,M. iPhone X,"0,00",2,2,OK,2025-08-14,,,
22985,Câmera Frontal - iPhone X,Manutenção Câmera,M. iPhone X,"0,00",2,2,OK,2025-08-14,,,
22990,Flex Volume/carregador sem fio - iPhone x,Manutenção Vibra / Volume / Power,M. iPhone X,"400,00",1,1,OK,2025-08-14,,,
23224,Antena de Sinal  - iPhone X,Manutenção Antena de Sinal,M. iPhone X,"250,00",3,3,OK,2025-08-14,,,
23960,Flex da função power para iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"400,00",3,3,OK,2025-08-14,,,
23969,Alto-falante auricular para iPhone X,Manutenção Alto Falante,M. iPhone X,"200,00",2,2,OK,2025-08-14,,,
23971,Motor de funçao vibratoria para iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"300,00",2,2,OK,2025-08-14,,,
23973,Speaker - iPhone X,Manutenção Speaker,M. iPhone X,"300,00",2,2,OK,2025-08-14,,,
23978,Flex da Câmera Frontal e Sensor para iPhone X,Manutenção Câmera,M. iPhone X,"300,00",3,3,OK,2025-08-14,,,
25378,Flex sensor / Alto falante - iPhone X,Manutenção Flex do Sensor,M. iPhone X,"300,00",2,2,OK,2025-08-14,,,
27190,Conector de Carga iPhone SE 3 2022 - Branco,Manutenção Conector,M. iPhone SE 3,"500,00",1,1,OK,2025-08-14,,,
4372,Carcaça iPhone 5C - Coral,Manutenção Carcaça/Vidro Traseiro,M. iPhone 5C,"100,00",1,1,OK,2025-08-14,,,
4380,Bateria de iPhone 6S,Manutenção Bateria,M. iPhone 6S,"180,00",3,3,OK,2025-08-14,,,
27191,Conector de Carga iPhone SE 3 2022 - Preto,Manutenção Conector,M. iPhone SE 3,"500,00",3,3,OK,2025-08-14,,,
