Id,Nome,Categoria,Sub-categoria,Valor,Sistema ,Fisico ,Situação,Data,Motivo,Resolvido ? ,Como ?
21875,Tampa Traseira iPhone X - Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone X,"0,00",1,1,OK,2025-08-15,,,
21876,Tampa Traseira iPhone X - Preto,Manutenção Carcaça/Vidro Traseiro,M. iPhone X,"0,00",1,1,OK,2025-08-15,codigo antigo ,Sim,
21905,Câmera Traseira - iPhone X,Manutenção Câmera,M. iPhone X,"300,00",3,3,OK,2025-08-15,,,
21926,Lente de Vidro da Câmera iPhone X - Prata,Manutenção Câmera,M. iPhone X,"0,00",1,1,OK,2025-08-15,,,
22487,Flex Volume - iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"0,00",3,3,OK,2025-08-15,,,
22492,Flex Power - iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"0,00",4,4,OK,2025-08-15,,,
22642,Motor do Vibra - iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"0,00",2,2,OK,2025-08-15,,,
22756,Bateria de iPhone X,Manutenção Bateria,M. iPhone X,"400,00",4,4,OK,2025-08-15,,,
22850,Alto falante - iPhone X,Manutenção Alto Falante,M. iPhone X,"0,00",2,2,OK,2025-08-15,,,
22922,Carcaça Completa iPhone X - Preto,Manutenção Carcaça/Vidro Traseiro,M. iPhone X,"400,00",1,1,OK,2025-08-15,,,
22923,Carcaça Completa iPhone X - Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone X,"400,00",1,1,OK,2025-08-15,,,
22985,Câmera Frontal - iPhone X,Manutenção Câmera,M. iPhone X,"0,00",1,1,OK,2025-08-15,,,
23224,Antena de Sinal  - iPhone X,Manutenção Antena de Sinal,M. iPhone X,"250,00",2,2,OK,2025-08-15,,,
23915,Vidro e touchscreen com LCD iPhone X - Preto,Manutenção LCD/ Touch,M. iPhone X,"600,00",3,3,OK,2025-08-15,,,
23965,Flex de Conector de Carga para iPhone X Cinza,Manutenção Conector,M. iPhone X,"300,00",2,2,OK,2025-08-15,,,
23967,Flex de Conector de Carga para iPhone X Preto,Manutenção Conector,M. iPhone X,"300,00",2,2,OK,2025-08-15,,,
23973,Speaker - iPhone X,Manutenção Speaker,M. iPhone X,"300,00",3,1,Divergente,2025-08-15,"FALTA - 4027138 , 5481923",Sim,
